"e, e",kb. 1 huruf kelima abjad Inggris.  2 Mus.: nada  E.
ego,"kb. diri (sendiri), aku. When she refused to marry him, it hurt his ego  Ketika dia menolak kawin dengannya ia merasa terhina."
egocentric,ks. egosentris.
egoism,"kb. egoisme, keakuan."
egoist,kb. orang yang hanya mengejar kepentingan diri sendiri.
egotism,kb. egotisme.
egotist,kb. penyombong.
egotistic(al),"ks. congkak, sombong, angkuh, mementingkan diri sendiri."
egret,kb. sejenis burung bangau.
egypt,kb. Mesir.
egyptian,kb. orang Mesir. -ks. Mesir. E. currency mata uang Mesir.
eh,"kseru. bukan ?; ..., kan ?; ..., ya ?."
eight,kn. delapan. e. books delapan buku. e. o'clock jam delapan.
eighteen,kn. delapan belas.
eighteenth,kn. yang kedelapan belas. He arrives on the e.  Dia akan tiba tanggal delapan belas.
eightfold,ks. ganda/rangkap delapan belas kali.
eighth,"kb., ks. yang kedelapan. This is the e. cup of coffee Ini cangkir yang kedelapan."
eightieth,ks. yang kedelapan puluh.
eighty,"kb., ks. (j. ties) delapan puluh e. two delapan puluh dua. e. third yang kedelapan puluh tiga."
either,ks. 1 salah satu dari dua. 2 tiap. -kg. 1 salah satu. 2 salah  seorang. -kk. pun tidak. either-or ks. salah satu dari dua.
ejaculate,"kkt. 1 berkata dengan tiba-tiba. 'My God,' she ejaculated in horror 'Ya Allah', ujarnya dengan ketakutan. 2 mengeluarkan dengan tiba-tiba."
ejaculation,"kb. 1 ujar, seruan. 2 pengeluaran dengan tiba-tiba, penyemburan."
eject,"kkt. 1 mengusir. to e. s.o. from a house mengusir seseorang dari rumah. 2 menyemprotkan, mengeluarkan, menyemburkan. to e. lava menyemprotkan lahar."
ejection,"kb. 1 pengusiran. 2 pelemparan, penyemburan (lava). Av.: e. seat tampat duduk peloncat otomatis dalam waktu darurat."
eke,kkt. to e. out menambah dengan susah payah. to e. out a living by menambah penghidupan dengan.
el,[elevated (railroad) ] kb. kereta api diatas jalan.
elaborate,"ks. 1 rumit.  2 teliti, terperinci. 3 besar, luas, panjang-lebar. -kki. menguraikan. to e. upon o's experiences menguraikan pengalaman-pengalamannya panjang lebar."
elaboration,kb. perluasan. e. of an earlier draft perluasan dari rencana yang terdahulu.
elapse,"kki. (ber)lewat, (ber) lalu. Two days elapsed before... Dua hari telah lewat sebelum..."
elastic,"kb. karet, elastik. -ks. elastik, elastis, kenyal, luwes. The agreement should be as e. as possible Persetujuan itu seharusnya seluwes mungkin."
elasticity,"kb. (j. -ties) kekenyalan, elastisitas."
elate,"kkt. membesarkan hati, menggembirakan. -elated ks. sangat gembira (at atas)."
elation,"kb. kegembiraan, kegirangan hati."
elbow,"kb. Anat.: siku. 2 boh, bengkokan, potongan bengkok. -kkt. mendorong, menyikut. Inf.: e grease bekerja keras, membanting tulang. e. room tempat yang cukup luas."
elder,"kb. anggota pengurus gereja. elders j. nenek (mamak), sesepuh, orang-orang tua. -ks. lebih tua, senior. e. brother abang, kakak."
elderberry,kb. (j. -ries) semacam buah murbey.
elderly,"kb., ks. tua. home for the e. rumah untuk kaum tua."
eldest,ks. tertua sulung.
elect,kb. the e. orang-orang yang terpilih. -ks. yang terpilih. e. group golongan terpilih. -kkt. memilih (a mayor). He elected to stay home Ia memilih tinggal dirumah.
elect.,1 [electric(al) ] yang berhubungan dengan listrik. 2 [electricity] listrik.
election,kb. pemilihan. general e. pemilihan umum. e. symbol tanda gambar pemilihan.
elective,"kb. mata pelajaran pilihan, mata kuliah pilihan fakultatif. -ks. fakultatif. e. position jabatan yang berdasar pemilihan."
elector,"kb. pemilih, orang yang berhak memilih, anggota badan yang berhak memilih."
electoral,ks. yang bertautan dengan pemilih atau pilihan. e. college golongan orang-orang yang dipilih oleh para pemilih  untuk memilih Presiden dan Wakil Presiden AS.
electorate,kb. orang-orang yang berhak memilih dalam pemilihan.
electric,"ks. 1 yang berhubungan dengan listrik. e. clock jam listrik. 2 menggemparkan, menggairahkan.  e. blanket selimut listrik. e. chair. kursi listrik."
electrical,"ks. yang berhubungan dengan listrik, elektris. e. engineer insinyur bagian listrik."
electrician,kb. montir listrik.
electricity,kb. listrik.
electrification,kb. elektrifikasi.
electrify,kkt. (electrified) 1 mengelektrifikasikan. 2 menggemparkan. His speech electrified everyone Pidatonya menggemparkan semua orang.
electrocardiogram,kb. garis-grafik debar jantung.
electrocut,kkt. 1 membunuh dengan arus listrik. 2 menghukum mati dengan arus listrik.
electrocution,kb. 1 mati karena listrik. 2 hukuman kursi listrik.
electrode,kb. elektroda.
electrodynamics,kb. elektrodinamika.
electrolysis,kb. elektrolisa.
electromagnet,kb. magnit listrik.
electron,kb. electron. e. microscope mikroskop  electron.
electronics,kb. ilmu elektronika.
