"e, e",kb. 1 huruf kelima abjad Inggris.  2 Mus.: nada  E.
decorator,kb. penghias. interior d. penghias rumah.
decorous,"ks. pantas, terhormat, sopan. d. behavior tingkah laku yang pantas."
decorum,"kb. kepantasan, adat yang pantas dalam pergaulan."
decoy,"kb. 1 umpan. 2 pemikat, perangkap. d. duck itik pemikat. 3 bujukan. -kkt. memikat, membujuk."
decrease,"kb.kb. 1 potongan (in price, in salary). 2 pengurangan (in speed). -kkt.mengurangi (price)."
decree,"kb. 1 dekrit, surat keputusan/ketetapan. 2 titah (of a ruler). -kkt. 1 memutuskan. 2 bersabda, menitahkan."
decrepit,"ks. jompo, tua sekali."
decry,"kkt. (decried) mengutuk, mencela, menentang. to d. the drinking of  alcoholic beverages mengutuk peminuman minuman keras."
dedicate,kkt. 1 mempersembahkan. 2 membaktikan. 3 meresmikan pemakaian/pembukaan. to a d. a building meresmikan pemakaian sebuah gedung.
dedication,kb. 1 pengabdian. 2 persembahan. 3 pembaktian. 4 peresmian pemakaian/pembukaan.
dedicatory,ks. sebagai peringatan. d. volume buku peringatan.
deduce,kkt. menarik kesimpulan. From this one con d. a great deal Dari hal ini seseorang banyak dapat menarik kesimpulan.
deduct,"kkt. mengurangi, mengambil, memotong. D. this amount from my salary Kurangilah jumlah ini dari gaji saya."
deductible,ks. dapat/sudah dikurangi.
deduction,"kb. 1 deduksi, pengambilan kesimpulan. 2 potongan."
deductive,ks. deduktif.
deed,kb. 1 perbuatan. 2 akte (notaris). -kkt. memindahkan/memberikan dengan naskah resmi.
deem,"kkt. menganggap, mempertimbangkan."
deep,kb. bagian yang dalam.  -ks. 1 dalam 2 mendalam. 3 tinggi.  -kk. jauh.  deep-sea ks. mengenai bagian laut  yang dalam sekali.  deep-set ks. cekung.  -deeply.  kk. (men)dalam.
deepen,kkt. memperdalam.  to d. a well memperdalam sumur.  -kki. mendalam.  The mystery deepened  Kegaiban mendalam.
deepwater,ks. mengenai air yang dalam. d. channel terusan air yang dalam.
deer,"kb. rusa, kidang, kijang."
deerskin,kb. kulit rusa.
def.,"(definite)  pasti, tentu."
deface,"kkt. mencacati, merusakkan, menodai, mengotori (a monument)."
defacement,"kb. pencacatan, perusakan, penodaan."
defaecate,#NAME?
defamation,"kb. fitnah(an), penistaan. He was sued for d. of character  Dia dituntut karena memfitnah."
defamatory,ks. yang bersifat memfitnah.  d. statements  ucapan-ucapan yang bersifat memfitnah.
defame,"kkt. memffitnah, mencemarkan nama baik. to d. opponent mencemarkan nama baik seorang lawan."
default,"kb. kegagalan, kelalaian. in d. of  karena gagal, tsak dapat/sanggup.-kki. lalai."
defeat,"kb. 1 kekalahan. 2 penaklukan. -kkt. 1 mengalahkan, menggulingkan (the enemy). 2 menggagalkan(a motion). 3  Sport : menundukkan."
defeatism,kb. sikap menyerah/kalah.
defeatist,kb. seorang yang bersifat mengalah. He suffers from a d. attitude  Ia mengandung  sifat-sifat mengalah.
defecate,kki. membuang air besar.
defecation,"kb. pembuangan air besar, berak."
defect,kb. 1 kerusakan. 2 cacat.  -kki. menyeberang.
defection,"kb. penyebrangan, peninggalan."
defective,"ks. 1 tidak sempurna, cacat. 2 rusak. d. parts  bagian-bagian yang rusak.  3 kurang baik. d. hearing pendengaran yang kurang baik."
defector,"kb. penyebrang, orang yang meninggalkan partainya, pasukannya dsb."
defence,#NAME?
defend,"kkt. membela, mempertahankan.  -defending champion juara bertahan."
defendant,"kb. terdakwa, tergugat. d. in the lawsuit terdakwa dalam perkara pengadilan itu."
defender,pembela.
defense,kb. 1 pertahanan. 2  pembelaan.  3 penjagaan. 4 Law : pembela.
defenselles,ks. tak berdaya. a d. person seorang yang tak berdaya.
defensive,kb. sikap bertahan.  to place/put on the d.  mempersiapkan untuk membela diri.  -ks. sifat pembelaan.  to take a d. attitude  bersifat bertahan.
defensiveness,kb. keadaan membela diri.
defer,"kkt. (deferred) menunda, menangguhkan. -kki. tunduk.  -deferred ks. yang ditunda/ditangguhkan.  d. payment pembayaran yang ditangguhkan."
deference,kb. rasa hormat. the d. due an older rasa hormat yang selayaknya kepada orang yang lebih tua. in/out of d. to untuk menghormati.  in d. to his age  untuk menghormati umurnya.
deferential,ks. yang menghormati/menghargai/memuji-muji.  His d. attitude is irriating  Sikapnya yang menghormat  menjengkelkan.
deferment,"kb. penundaan, pertangguhan."
defiance,"kb. tentangan, tantangan.  to leave home in d. of o's parents  meninggalkan rumah  bertentangan dengan orangtuanya."
defiant,ks. bersifat menentang/menantang. d. attitude sikap menantang. -defiantly kk. secara menantang dengan tidak mengindahkan / mematuhi.
deficiency,kb. (j. -cies) kekurangan.  vitamin d. kekurangan vitamin.
deficient,"ks. 1 kurang, tidak sempurna.  d. in carbohydrates kekurangan hidrat arang.  2 kurang baik. d. in mathematics kurang baik dalam ilmu pasti."
deficit,"kb. defisit, tekor, kekurangan. to suffer a severe d. mengalami defisit yang hebat. d. financing keuangan yang tekor."
defile,kkt. 1 mengotorkan. 2 merusakkan. 3 mencemarkan.
definable,ks. dapat ditegaskan/diuraikan.
define,"kkt. 1 memberi definisi. 2 menegaskan, menetapkan."
definite,ks. 1 pasti. 2 tertentu. 3 nyata. -definitely kk. pasti. I'll be there tomorrow  Saya pasti akan disana besok.
definition,"kb. 1 definisi, ketentuan. 2 ketentuan. 3 ketajaman. by  d. menurut definisi."
definitive,"ks. pasti, menentukan. The results are not d. Hasil-hasil itu tidak pasti."
deflate,kkt. 1 mengempiskan (a tire). 2 menurunkan.
deflation,"kb. 1 deflasi, penurunan. d. of the currency penurunan nilai mata uang.  2 pengempisan (of a balloon)."
deflationary,ks. bersifat deflasi. d. measures  tindakan-tindakan bersifat deflasi.
deflect,"kkt. 1 membelokkan.  The wind deflected the arrow's path  Angin membelokkan jalan panah itu. 2  menangkis, mengelakkan. to d. a blow menangkis pukulan."
deflection,kb. 1 pembelokan. 2 pengelakan. 3 defleksi.
deflector,ks.  deflektor.
deflexion,#NAME?
deflower,"kkt. 1 merusakkan, menghancurkan. 2 merogol (anak dara)."
defoliate,kkt. menggundulkan. The tree was wholly defoliated  Pohon itu telah gundul seluruhnya.
deforest,kkt. menebang/menghilangkan  hutan.
deforestation,"kb. deboisasi, penebangan hutan."
deform,"kkt. merusak bentuk. to d. the feet by wearing tight shoes merusak bentuk kaki dengan  memakai sepatu yang sempit.  -deformed ks. cacat bentuknya, bercacat."
deformation,kb. perubahan bentuk.  d. of the feet  pencacatan bentuk kaki.
deformity,"kb. (j. -ties) kelainan bentuk, bentuk yang cacat. d. of the foot  kelainan bentuk kaki, keadaan cacat  pada  kaki."
defraud,kkt. 1 menggelapkan uang.  to d. a firm  menggelapkan uang sebuah firma. 2 menipu.
defray,kkt. membiayai (costs/expenses).
defrock,kkt. memecat pendeta oleh karena cara-caranya yang tidak ortodoks.
defrost,"kkt. mematikan lemari es untuk menghilangkan es yang membeku, membersihkan endapan-endapan air yang membeku pada lemari es, menghilangkan bekuan es."
deft,"ks. tangkas, terampil, cekatan.  d. fingers jari-jari yang tangkas."
defunct,"the d. kb. (orang) yang sudah mati/meninggal. -ks. mati, ditutup. d,firm sebuah firma yang ditutup.  d. newspaper koran yang mati."
defy,"kkt. (defied) 1 menentang (orders). 2 menantang, tahan menghadapi (rust). to d. description tak terlukiskan, tak dapat diuraikan."
deg.,(degree)  derajat.
degenerate,"ks. (seorang) yang merosot akhlaknya. -kki. memburuk, turun derajat.  The meeting degenerated into a free-for-all  Rapat memburuk menjadi perkelahian umum."
degeneration,"kb. kemerosotan, proses kemunduran."
degenerative,ks. bersifat merosot/kemunduran. to undergo the d. changes common to old age mengalami perubahan-perubahan kemerosotan yang biasa terjadi pada umur tua.
degradation,"kb. 1 keburukan. the d.of a prison sentence keburukan hukuman penjara. 2 penurunan. d. in officer's rank penurunan pangkat, degradasi."
degrade,"kkt. 1 menurunkan. 2 merendahkan. -degrading  ks. menghinakan, menurunkan martabat."
degree,"kb. 1 derajat. 2 gelar. 3 kadar, tingkat. to a d. sedikit banyak.  by degrees sedikit demi sedikit,  lambat laun."
dehumidifier,"kb. alat menghilangkan lembab,  alat pengering udara."
dehumidify,kkt. (dehumidified)  menghilangkan lembab.
dehydrate,"kkt. menjadi kering, mendehidrasi, menghilangkan air dari (sesuatu)  -dehydrased ks. kering sekali."
dehydration,"kb. dehidrasi, pengeringan."
deice,kkt. menghilangkan lapisan es.  to d. the wings of a plane menyingkirkan lapisan es dari sayap-sayap kapal terbang.
deicer,"kb. alat untuk menghilangkan es, alat penyapu es."
deification,kb. pendewaan.
deify,"kkt. (deified) mendewakan, memuja sebagai dewa."
deign,kki. berkenan. She finally deigned to give me a date  Akhirnya ia berkenan berkencan dengan saya.
deity,"kb. (j. -ties) 1 dewata, dewa. the d. of the sea  dewa laut. 2 kedewaan, ketuhanan.  to believe in the d. of Christ  percaya kepada sifat ketuhanan Kristus."
deject,"kkt. mematahkan hati.  Trouble does not d. him  Kesusahan tidak mematahkan hatinya. -dejected ks. kesal, sedih, patah hati.  He felt d. after...  I merasa kesal setelah..."
dejection,"kb. kekesalan, kepatahan hati."
del.,(Delaware) negara bagian AS.
delay,kb. kelambatan. 2 penundaan. -kkt. menunda (the trial).  -delayed  ks. yang (ter)lambat. -delaying ks. yang menunda.
delectable,ks. lezat. d. meal makanan yang lezat.
delegate,"kb. utusan. -kkt. 1 mengutus, menyerahi. 2 menyerahkan.  to d. o's authority menyerahkan kekuasaan."
delegation,"kb. 1 perutusan, delegasi.  government d. perutusan  pemerintah. 2 penyerahan. d. of authority penyerahan kekuasaan."
delete,"kkt. menghilangkan, mencoret, menghapuskan. D. this statement from the record  Hilangkanlah pernyataan ini dari laporan."
deleteratious,"ks. merusak, mengganggu. Smoking may have a d. effect on o's healt Merokok bisa mengakibatkan  rusaknya kesehatan seseorang."
deletion,"kb. penghilangan, pencoretan, penghapusan. d. of certain sentences penghapusan kalimat-kalimat tertentu."
deliberate,"ks. 1 (dengan) sengaja, yang disengaja. 2 tenang dan berhati-hati, tidak tergesa-gesa. -kki. berunding. -deliberately kk. 1 dengan sengaja. 2 berhati-hati."
deliberation,kb. pertimbangan (yang mendalam). After much d. he made up his mind  Setelah mempertimbangkannya masak-masak ia mengambil suatu keputusan.
delicacy,kb.(j. -cies) 1 makanan yang lezat. 2 kehalusan.  the d. of her skin  kehalusan kulitnya. 3 keadaan yang genting.
delicate,ks. 1 lembut. a d. old lady seorang wanita tua yang lembut. 2 sulit.  d. question pertanyaan yang sulit. 3 lekas tersinggung.  She is very d. about such matters  Ia  merasa lekas tersinggung mengenai hal-hal yang demikian itu.
delicatessen,kb. 1 toko makanan. 2 barang-baran makanan.
delicious,"ks. lezat, enak."
delight,"kb. 1 kesenangan. 2 kesukaan. -kkt. sangat menyenangkan, menggembirakan hati. -kki. senang. -delighted ks. sangat gembira / senang."
delightful,"ks. yang sangat menyenangkan, yang menggembirakan, yang penuh kegemaran.  -delightfully kk. dengan sangat menyenangkan., dalam penuh kegembiraan."
delimit,kkt. membatasi. to d. precisely the boundaries between  the two countries menentukan dengan tepat batas-batas antara kedua negara itu.
delineate,"kkt. menggambar(kan), melukiskan.The route taken by the explores was clearly delineated on the map  Jalan yang ditempuh para penjelajah itu dilukiskan dengan jelas pada peta."
delinquency,"kb. (j. -cies) kejahatan, pelanggaran. juvenile d. kenakalan anak-anak."
delinquent,"kb. 1 (of a child) penjahat. 2 penunggak.  -ks. 1 lalai  membayar.  He's d. in his taxes  Ia lalai membayar pajak.  2 nakal, jahat."
delirious,"ks. 1 tergila-gila, lupa daratan. to be d. with exitement over the outcome of the election  tergila-gila gembira karena hasil pemilihan. 2 mengigau. She was d. from fever  Dia mengigau karena demam."
delirium,"kb. 1 kegila-gilaan. 2 igauan.  d. tremens keadaan mabuk/mengigau, keadaan pikiran yang tidak waras."
deliver,"kkt. 1 menyampaikan. 2 mengantarkan.3 mengucapkan, memberi. 4 memberi. 5 melepaskan. 6 menyerahkan.  -kki. menghasilkan, memberi hasil. to be delivered of  melahirkan."
deliverance,"kb. pembebasan, pelepasan."
delivery,"kb. (j. -ries) 1 pengantaran, pengiriman. 2 cara berpidato. 3 cara melemparkan bola. 4 kelahiran. 5 pemasrahan. 6 pembebasan, pelepasan. 7 pengiriman."
deliveryman,kb. (j. -men)  pengantar.
dell,kb. lembah kecil.
delouse,"kkt. menyelisik, menghilangkan kutu-kutu."
delta,"kb. delta, beting, gosong yang panjang."
delude,"kkt. memperdayakan, menipu.  to d. o's with false hopes menipu diri sendiri dengan harapan-harapan hampa."
deluge,"kb. banjir besar, air bah, hujan  keras.  -kkt. membanjiri.  Heavy rain deluged the cellars Hujan lebat membanjiri ruang-ruang dibawah rumah."
delusion,"kb. khayalan, angan-angan. delusions of grandeur khayalan kemegahan."
"deluxe, de luxe","ks. mewah, sangat bagus. d accommodations  akomodasi/tempat penginapan yang mewah."
delve,kki. 1 menyelidiki.  The police delved into his past Polisi menyelidiki masa hidupnya yang lalu.  2 mempelajari. to d. into books on that subject  mempelajari dari buku-buku mengenai soal itu.
demagog(ue),kb. penghasut/pemimpin/penggerak rakyat yang pandai berpidato.
demagoguery,kb. penghasutan rakyat.
demand,"kb. 1 permintaan. 2 tuntutan. -kkt. meminta. 2 menuntut. 3 memerlukan. -kki. menuntut, menagih.  -demanding ks. 1 banyak permintaannya. 2 banyak persyaratannya."
demarcation,"kb. demarkasi, pembatasan, batas pemisah."
demean,kkt. to do o.s.  merendahkan diri. He demeaned himself by taking a job as a waiter  Ia merendahkan martabatnya dengan menerima pekerjaan sebagai pelayan.
demeanor,"kb. cara bertindak, sikap, kelakuan. She has a modest d. Sikapnya bersahaja."
demented,ks. gila.  d. individual orang yang gila.
demerit,"kb. 1 cela, kekurangan. 2 angka buruk. to receive a d. for tardiness  memperoleh angka buruk karena  kelambanan."
demigod,kb. setengah dewa.
demilitarization,kb. de-militerisasi.
demilitarize,kkt. mendemiliterisasi(kan). demiliterized  zone  daerah yang dikosongkan dari pasukan militer.
demise,kb. kematian. d. of the late John Doe  kematian  almarhum  John Doe.
demobilization,kb. demobilisasi.
demobilize,kkt. mendemobilisasikan.
democracy,kb. (j. -cies) demokrasi.
democrat,kb  demokrat.
democratic,"ks. 1 demokratis, sebagai sesamanya. 2 demokrat. D. party partai demokrat."
democratization,"kb. pendemokrasian, demokratisasi."
democratize,kkt. mendemokratisasikan.
demographer,kb. ahli demokrafi.
demographic,ks. demografis.
demography,kb. demografi.
demolish,"kkt. 1 membongkar (a building). 2 melumpuhkan, menghancurkan. to d. an opponent's argument  melumpuhkan bantahan lawannya."
demolition,"kb. pembongkaran, penghancuran, perusakan.  d. of a building pembongkaran gedung. d. bomb bom perusak gedung-gedung dsb."
demon,"kb. 1 setan, iblis, jin.  2 orang yang keranjingan tentang sesuatu."
demoniac,"kb. orang yang kesurupan.  -ks. kejam, bengis.  her d. attitude sikapnya  yang kejam."
demonic,"ks. kejam, jahat."
demonstrable,"ks. dapat dibuktikan/dipertunjukkan. d. proposition usul yang dapat dibukukan. -demonstrably  kk. terang, dengan cara yang dapat dibuktikan.  He is d. wrong  Ia terang sekali salah."
demonstrate,"kkt. mempertunjukkan, mempertontonkan.  -kki. berdemonstrasi."
demonstration,kb. demonstrasi. to hold a d. mengadakan demonstrasi.
demonstrative,ks. yang lincah dan bebas gerak-geriknya. (of the person). d. pronoun kataganti penunjuk.
demonstrator,"kb. 1 demonstran. 2 contoh, pameran. d. car mobil yang dipakai sebagai contoh."
demoralization,"kb. demoralisasi, kemerosotan akhlak."
demoralize,kkt. 1 menghilangkan semangat. 2 mengacaukan.
demote,kkt. menurunkan. The sergeant was demoted to corporal  Sersan itu diturunkan pangkatnya menjadi kopral.
demotion,kb. penurunan pangkat.
demur,kki. (demmurred) berkeberatan. I d. at working on Saturdays Saya berkeberatan untuk bekerja pada hari Sabtu.
demure,kb. 1 sok/berlagak sopan. 2 bersungguh hati. a d. young girl seorang gadis yang bersungguh hati.
demurrage,kb. 1 keliwatan waktu berlabuh.  2 biaya  kelebihan  waktu berlabuh.
demurrer,"kb. 1 penangkisan. 2 keberatan, pengecualian, eksepsi."
den,"kb. 1 liang, gua. 2 sarang. 3 ruang kecil yang dipakai untuk membaca, bekerja dsb."
denationalization,kb. denasionalisasi.
denationalize,kkt. mendenasionalisasikan.
denature,kkt. mengubah sifat sesuatu benda. denatured alcohol  alkohol yang dipakai untuk segala macam keperluan kecuali untuk  diminum.
dendrology,"kb. dendrologi, ilmu pohon-pohonan."
dengue,kb. penyakit demam disertai linu pada sendi-sendi dan otot-otot.
denial,"kb. penolakan, sangkalan, penyangkalan."
denied,lih  DENY.
denies,lih  DENY.
denigrate,kkt. mencemarkan/memperburukkan nama orang lain.
denim,kb. semacam kain kepar/dril.
denizen,"kb. penghuni, warga.  d. of the deep penghuni laut."
denomination,kb. satuan. 2 kaum/umat/sekta/golongan agama. 3 lembaran uang kertas.
denominational,ks. yang dimiliki/dikuasai oleh salah satu kaum/golongan agama tertentu d. school sekolah golongan agama tertentu.
denominator,"kb. angka sebutan (dalam bilangan pecahan). common d. angka sebutan senama, sebutan persamaan."
denotation,"kb. denotasi, tanda, penunjuk."
denote,"kkt. merupakan, menunjukkan."
denouement,"kb. kesudahan/kesimpulan/akhir suatu sandiwara cerita, peleraian."
denounce,kkt. 1 mencela. 2 melaporkan. 3 mengadukan.
dense,"ks. 1 tebal. d. smoke asap tebal. 2 padat.  d. crowd orang banyak yang padat. 3 bodoh. -densely kk. padat, sesak, penuh.  a d. populated area daerah yang padat penduduknya."
density,"kb. (j.  -ties) 1 kepadatan. population d. kepadatan penduduk. 2 berat jenis. d. of water berat jenis air, kekentalan air."
dent,"kb. peot, peok, peyek.  -kkt. melekuk.  -dented  ks. peok, peot, penyok, kepik."
dental,ks. 1 yang berhubungan dengan gigi. d. care pemeliharaan gigi.  2 dental. d. sound  bunyi dental.
dentifrice,kb. tapal/pasta gigi.
dentin(e),kb. gigi bagian dalam dibawah kepala gigi.
dentist,kb. dokter gigi.
dentistry,kb.(ilmu) kedokteran gigi.
dentition,"kb. pertumbuhan gigi, pergigian."
denture,kb. geligi palsu/buatan.
denudation,kb. penggundulan.
denude,kkt. menggundulkan.
denunciation,kb. pengaduan. d. of a friend to the police pengaduan seorang teman kepada polisi.
deny,"kkt. (denied) 1 menyangkal, mengingkari. 2 meniadakan."
deodorant,kb. obat untuk menghilangkan/membasmi bau busuk.
deodorize,kkt. menghilangkan bau busuk.
dep.,"(department) biro.  2 (deputy) wakil, pembantu."
depart,"kkt. meninggal.  -kki. 1 berangkat. 2 menyimpang.  3 meninggal dunia. -departed kb. mendiang, almarhum."
department,kb. 1 departemen. 2 bagian.
departmental,ks. yang berhubungan dengan bagian. That's a d. matter Itu urusan kantor bagian.
departure,kb. 1 keberangkatan.  2 permulaan kebiasaan.
depend,"kki. 1 mempercayai, percaya akan, mengandalkan.  2 bergantung."
dependability,"kb. hal dapat dipercayai, dapat dipertanggungkan/diandalkan."
dependable,ks. dapat dipercayai/diandalkan.
dependence,kb. 1 ketergantungan. 2 kepercayaan. 3 bantuan.
dependency,kb. (j. -ties) tanah jajahan.
dependent,kb. tanggungan. -ks. bergantung. She is too d. upon her parents  Ia terlalu bergantung pada orang tuanya.
depict,"kkt. melukiskan, menggambarkan. to d. the beauty of area melukiskan keindahan daerah itu."
depiction,"kb. (pe)lukisan, (peng)gambaran. D. of the scene was beautifully done Pelukisan pemandangan itu indah."
depilatory,kb. (j. -ries) obat menghilangkan rambut.
deplane,kki. turun dari pesawat terbang. to d. in Rome turun dari kapal terbang Roma.
deplenish,"kkt. mengosongkan, menghabiskan. to d. o's savings mengosongkan tabungannya, menghabiskan uang simpanannya."
deplete,"kkt. menghabiskan, mengosongkan. My savings account was depleted by large medical expenses  Uang simpananku/tabunganku habis karena pengeluaran besar unutk pengobatan."
depletion,"kb. kehabisan, penipisan. d. of oil reserves kehabisan persediaan minyak."
deplorable,ks. 1 tercela. His attitude is d. Sikapnya tercela. 2 menyedihkan. The situation is d. Keadaan menyedihkan.
deplore,kkt. menyesalkan. We d. the assassiation Kami menyesalkan  pembunuhan itu.
deploy,kkt. menyebar(kan). to d. the Marines menyebarkan prajurit-prajurit KKO .
deponent,ks. deponen.
depopulate,kkt. mengurangi/mengosongkan/ menghapuskan  penduduk.
deport,kkt. mengembalikan.
deportation,"kb. deportasi, pengasingan, pembuangan, pengiriman kembali  ke negeri asal."
deportment,"kb. tingkah laku, kelakuan, sikap."
depose,"kkt. 1 memecat, memperhentikan. 2 menerangkan dibawah sumpah, memberikan kesaksian."
deposit,"kb. 1 deposito, setoran, simpanan uang pangkal. 2 uang tanggungan. 3 lapisan. 4 endapan. 5 simpanan, tumpukan. -kkt. 1 mendepositokan. 2 menumpuk, menaruh, menempatkan."
deposition,kb. 1 pernyataan. d. of a sworn witness pernyataan seorang saksi dibawah sumpah. 2 penurunan dari tahta. 3 endapan. d. of mud endapan lumpur.
depositor,"kb. penyetor, penyimpan, penabung."
depository,kb. (j. -ries) tempat penyimpanan.
depot,"kb. 1 depo(t), gudang. munitions d. gudang mesiu.  2 stasiun. bus d. setasiun bis."
deprave,"kkt. merusak akhlak, memburukkan. Drinking may d. a person Minuman keras dapat merusak moral seseorang. -depraved ks. yang sudah rusak/bejad akhlaknya. a d. criminal seorang penjahat yang sudah bejad akhlaknya."
depravity,kb. (j.-ties) kerusakan/keburukan/bejad moral.
deprecate,"kkt. mencela, mengutuk.  -deprecating ks. yang mencela. d. remarks ucapan-ucapan yang bersifat mencela."
deprecation,"kb. celaan, kutukan, bantahan."
deprecatory,ks. =  DEPRECATING.
depreciate,kki. menurun/jatuh harganya. The property rapidly depreciated in value Harta milik itu dengan cepat menurun nilainya.
depreciation,kb. turunnya nilai. annual d. penurunan harga tahunan.
depredation,"kb. pembinasaan, perbuatan memusnahkan."
depress,"kkt. 1 menekan. 2 menyedihkan. -depressed ks. murung, muram, sedih. -depressing ks. 1 muram. 2 yang memuramkan, yang menghilangkan semangat."
depression,"kb. 1 Econ.: jaman meleset, depresi. 2 kemuraman, kehilangan. 3 bagian yang rendah atau dangkal. 4 penurunan."
deprivation,"kb. 1 pencabutan (of rights). 2 kehilangan, perampasan. (of food, money, etc.). 3 kerugian."
deprive,kkt. 1 mencabut. 2 menghilangkan.
dept.,"(department)  biro, departemen, jawatan."
depth,kb. dalam (ukuran) the d. of a well dalamnya sumur. 2 kedalaman. 3 lebar. 4 tengah-tengah.
deputation,"kb. (peng)utusan, deputasi, perutusan. a d. of office workers perutusan pekerja-pekerja kantor."
depute,kkt. 1 menugaskan. 2 menguasakan.
deputize,kkt. mewakilkan kepada.
deputy,kb. (j. -ties)  1 wakil. d. sheriff  wakil kepala polisi daerah/kabupaten. 2 utusan.
derail,kkt. menggelincirkan. -kki. keluar rel. The rain derailed at... Kereta api itu keluar rel di...
derailment,kb. hal keluar dari rel.
derange,kkt. 1 menyebabkan gila.  2 mengacaukan. -deranged ks. gila. d. man orang gila.
derangement,kb. 1 penyakit gila/jiwa. 2 kekacauan.
derelict,kb. 1 (person) orang terlantar/gelandangan. 2 Nav.: kapal yang ditinggalkan. -ks. 1 yang ditinggalkan. d. vessel kapal yang ditinggalkan. 2 lalai. d. in o's duty lalai dalam tugasnya.
dereliction,kb. kelalaian. d. of duty kelalaian melakukan tugas.
deride,"kkt. mengejek, mencemoohkan. His friends d. him for his shyness  Teman-temannya mengejeknya karena ia pemalu."
derision,"kb. ejekan, cemoohan."
derisive,ks. yang  bersifat mengejek. d laughter tertawa yang mengejek.
derivation,kb. asal(mula). What's the d. of this word ? Apakah asal  (mulanya) kata ini ?
derivative,kb. kata jadian. -ks. dikarang dari yang asli.
derive,"kkt. 1 mendapat, memperoleh. 2 mengambil. 3 berasal."
dermatitis,kb. kb. radang/infeksi kulit.
dermatologist,kb. ahli ilmu penyakit kulit.
dermatology,"kb. dermatologi, ilmu penyakit kulit."
derogatory,ks. yang menghina. to speak in d. terms of berbicara dengan kata-kata yang menghina mengenai.
derrick,"kb. (mesin) kerekan, mesin kerek/derek. oil d. alat/menara pembor(an) minyak."
desalinization,kb. pekerjaan menghilangkan zat garam/rasa asin dari air laut.
descend,"kkt. turun (gunung, tangga). -kki. 1 turun. 2 merendahkan diri. 3 bernenek-moyang.  -descending ks. yang menurun. on a d. scale pada skala yang menurun."
descendant,kb. 1 keturunan. 2 anak cucu.
descent,kb. 1 turun(nya).  2 keturunan. 3 serangan.
describe,"kkt. 1 melukiskan, menggambarkan. 2 membuat, menggambarkan."
description,"kb. gambaran, deskripsi, lukisan. beyond d. tak terlukiskan.  to answer to the d.  sesuai dengan yang dilukiskan."
descriptive,ks. deskriptif. d. linguistics  ilmu bahasa deskriptif.  d. geometry  ilmu ukur melukis.
desecrate,"kkt. menajiskan, menodai (gereja, katedral)."
desectration,"kb. penajisan, penodaan, pengotoran."
desegregate,kkt. menghilangkan perbedaan atau pemisahan.
desegregation,"kb. desegregasi, penghapusan perbedaan."
desert,"kb. padang/gurun pasir. -kkt. meninggalkan.  -kki. membelot, meninggalkan tugas  militer, melarikan dari tugas militer. -deserted ks. 1 yang ditinggalkan. 2 sepi, sunyi."
deserter,"kb. desertir, pembelot."
desertion,"kb. 1 Mil.: desersi, pembelotan.2 perbuatan meninggalkan."
deserve,"kkt. 1 berhak mendapat. 2 pantas, patut menerima.-deserved ks. well-d. honor penghargaan yang selayaknya (diperoleh).-deservedly kk. sdh sepatutnya.-deserving ks.1 yg pantas di tolong.2 yg berjasa."
desiccation,kb. pengawetan melalui proses pengeringan.
desideratum,"kb. (j.-ta). s.s.t. yg diinginkan, kebutuhan yg terasa."
design,"kb. potongan. 2 bentuk.3 model.4 pola.5 kontruksi.6 mode. 7 tujuan, maksud.-kkt. merencanakan.-designing kb. membuat pola-pola. ks. berkomplot, bersekongkol."
designate,ks. calon.-kkt. 1 menunjuk.2 menandakan.
designation,kb.1 penunjukan.2 tanda pangkat.3 penandaan.
designer,"kb. pelukis, perencana, perancang, pembuat model."
desirability,"kb. sifat diingini/disenangi/disukai,sifat yg menyebabkan orang menginginkannya/senang/suka memilikinya."
desirable,ks.1 diinginkan. (of the person)  2 diperlukan sekali.
desire,"kb. 1 hasrat. 2 keinginan. 3 berahi. -kkt. 1 menginginkan, meminta. 2 mengingini. 3 berahi  terhadap."
desirous,ks. ingin. I am  d. of better facilities Saya ingin memperoleh fasilitas-fasilitas yang lebih baik.
desist,kki.  berhenti. The army demanded that the mob d. from its attack on...  Tentara menuntut agar perusuh-perusuh itu menghentikan serangan terhadap...
desk,kb. 1 mejatulis. 2 alas meja. 3 bagian.  4 kas.
deskbound,ks. bekerja dibelakang meja. In this job I am  d.  Dalam jabatan ini saya bekerja dibelakang mejatulis.
desolate,"ks. 1 terpencil. 2 sepi, sunyi. 3 sedih, muram. 4 tandus,  gersang.  -kkt. 1 merusakkan, menghancurkan. 2 menyedihkan, menyusahkan."
desolation,"kb. 1 ketandusan (of a region). 2 kesedihan (of a person). 3 perusakan, penghancuran."
despair,"kb. keputus-asaan, kepatahan hati, kehilangan harapan. -kki. hilang harapan.  -despairing   ks. yang berputus asa."
despatch,#NAME?
desperado,"kb. penjahat yang nekat, bajingan, bandit."
desperate,ks. 1 yang sangat menyedihkan. 2 nekat. 3 putus asa.  to do s.t. d. melakukan yang tidak-tidak.  -desperately kk. mati-matian.
desperation,"kb. kenekatan, keputus asaan, kehilangan harapan.   In d. he committed suicide  Dalam keadaan putus-asa ia membunuh diri."
despicable,"ks. tercela, hina, keji. d. act perbuatan yang tercela."
despise,"kkt. memandang rendah terhadap, menganggap hina. He despises fools Ia memandang rendah orang-orang yang tolol."
despite,"kb. meskipun, walaupun. d. the rain meskipun hujan."
