washer,"kb. 1 cincin penutup, ring. 2 (machine) mesin cuci."
washerwoman,kb. (j. -women) tukang cuci perempuan.
washout,"kb. 1 penghanyutan (of road, bridge). 2 (failure) Sl.: kegagalan."
washrag,kb. lap pencuci (badan). lap mandi.
washroom,"kb. kamar kecil, W.C."
washstand,kb. meja cuci muka.
washtub,kb. bak/tong cuci.
washwoman,#NAME?
wasn't,[was not] tidak (dalam waktu yang telah lewat).
wasp,"kb. tabuhan, penyengat, tawon."
wasserman,W. test test darah untuk menyelidiki ada tidaknya penyakit sipilis.
wastage,kb. apa yang dihabiskan (dibuang-buang).
waste,"kb. 1 pemborosan. 2 pembuangan. -kkt. 1 memboroskan (money, paper). 2 membuang-buang (time). 3 menghamburkan, membuang-buang (water). -wasted ks. yang dibuang-buang, yang disia-siakan."
wastebasket,kb. keranjang sampah.
wasteful,"ks. pemboros, royal."
wasteland,"kb. tanah kosong, gurun."
wastepaper,kb. kertas sobekan/sampah. w. basket keranjang sampah.
waster,kb. pembuang. He's a real time w. Ia betul-betul pembuangan waktu.
watch,"kb. 1 arloji, jam (tangan).  jaga. -kkt. 1 memperhatikan (s.o.). 2 menjaga (s.t.). 3 mengamati. 4 menonton (soccer, a a movie). -kki. menonton."
watchband,"kb. ban arloji, gelang jam."
watchcase,kb. kas/kotak arloji.
watchdog,kb. 1 anjing penjaga. 2 penjaga. w. of the treasury penjaga perbendaharaan.
watcher,kb. pengintai. bird w. peneliti burung.
watchful,ks. waspada. to keep a w. eye over menjaga dengan waspada.
watchfulness,"kb. perhatian, penelitian, sifat menjaga/mengamat-amati."
watchmaker,kb. tukang arloji.
watchmaking,kb. pembuatan arloji.
watchman,"kb. (j. -men) jaga, penjaga."
watchtower,kb. menara pengawasan/kawal.
watchword,kb. semboyan.
water,"kb. 1 air.  2 perairan. 3 air ledeng. -waters j. 1 perairan. 2 Anat.: cairan amnion.  -kkt. 1 menyirami, menjirus (flowers). 2 memberi minum (cattle). 3 mencampuri dengan air (gasoline, wine)."
water-down,ks. 1 yang diecerkan (dengan air) (of milk). 2 yang diperlemah/diperlunak (version).  -watering kb. 1 keluarnya air mata. 2 pengairan (of a field).
watercourse,kb. anak sungai/air.
watercraft,"kb. 1 kapal, perahu. 2 keahlian dalam berolahraga air."
waterfall,kb. air terjun.
waterfowl,kb. burung/unggas air (yang bisa berenang).
waterfront,"kb. 1 tepi laut. 2 bagian kota yang berbatasan dengan air, daerah pelabuhan. w. activities  kegiatan-kegiatan di pelabuhan."
waterglass,kb. silikat soda.
waterloo,kb. Waterloo. to meet o's W. menderita kekalahan.
watermark,kb. cap air. -kkt. memberi cap air.
watermelon,kb. semangka.
waterproof,ks. tahan air.
waterproofing,kb. 1 pembuatan tahan air. 2 sesuatu zat atau bahan untuk membuat tahan air.
watershed,kb. batas air. His work marks a w. in the field of genetics Penyelidikannya merupakan titik yang menentukan dalam lapangan genetika.
waterspout,"kb. 1 pipa penyemprot air. 2 Meteor.: angin punca beliung, puting beliung."
watertight,"ks. 1 kedap, rapat (of door). 2 tak dapat dibantah (of argument)."
waterway,kb. 1 jalan air. 2 terusan.
waterworks,bangunan air.
watery,ks. 1 encer (of soup). 2 berair (of o's eyes). 3 pucat. 4 banyak hujan.
watt,kb. wat(t). watt-hour jam watt.
wattage,kb. jumlah watt.
wattle,kb. 1 Poul.: pial. 2 anyaman dahan-dahan dan ranting-ranting kayu.
wave,"kb. gelombang. radio w. gelombang radio.  2 keriting, ikal, alunan (in hair). 3 ombak. 4 lambaian. -kkt. 1 melambaikan (the hand, a flag). 2 mengacungkan (weapon, fist). 3 mengombak (hair).  -kki. 1 melambai. 2 berkibar (of flags). 3 berombak."
"wave, wave",kb. anggota Korp Cadangan Wanita AL (di AS).
waveband,kb. riak gelombang.
waver,kki. 1 ragu-ragu (in o's decision). to w. between ragu-ragu antara. 2 goncang. 3 berkelap-kelip (of a light).
wavy,"ks. berombak, keriting (of hair). w. line garis yang berombak."
wax,kb. lilin. floor w. lilin lantai. w. paper kertas lilin/parafin. -kkt. menggosok dengan lilin. -kki. 1 menjadi. to w. enthusiastic menjadi gembira. 2 bertambah besar (of the moon). -waxing kb. bertambah besar (of the moon).
waxy,ks. dari lilin. w. substance bahan dari lilin.
way,"kb. 1 jalan. 2 arah, jurusan.   3 cara. 4 hal. 5 daerah. 6 jarak. by w. of 1 melalui, melewati. 2 sebagai kesimpulan. that w. 1 dengan begitu. 2 begitu.  3 kesana."
wayang,kb. wayang.
waybill,kb. semacam konosemen.
wayfarer,wayfarer
waylaid,lih   WAYLAY.
waylay,kkt. (waylaid) 1 mencegat. 2 menghentikan.
ways,"j. galangan peluncuran kapal kedalam air. the ways adat, kebiasaan.  ways-out ks. Sl.: luarbiasa (of a book, so's views, clothes)."
wayside,"kk. tepi/pinggiran jalan. to fall by the w. jatuh, kalah, berhenti. w. table meja di tepi jalan."
wayward,"ks. tidak patuh, suka melawan."
we,"kg. 1 kami (speakers only). 2 kita (all, including those spoken of). We leave tomorrow  Kami berangkat besok."
we'd,1 [we had] kami telah. 2 [we would] kami akan.
we'll,"[we will, we shall] kami/kita akan."
we're,[we are] kami/ kita akan.
we've,[we have] kami/kita telah.
weak,"ks. 1 lemah (of stomach).  He's too w. to sit up Dia terlalu lemah untuk duduk. 2 lemah, da'if (argument). 3 rendah, lemah (gas, electricity). 4 lemah, sedang menurun (of stock market). 5 encer (of tea, coffee)."
weak-kneed,"ks. lembek, lemah.  weak-minded ks. bimbang, berjiwa lemah. -weakly kk. 1 dengan lemah. 2 sering sakit-sakit, sakit-sakitan."
weaken,"kkt. memperlemah, melemahkan (a foundation). to w. a drink melemahkan minuman keras. -kki. menjadi lemah (under pressure, from disease). weakenend condition keadaan yang menjadi lemah."
weakling,kb. orang yang lembek/lemah.
weakness,"kb. kelemahan, kekurangan (of an argument). to have a w. for women mempunyai kelemahan terhadap wanita."
wealth,kb. kekayaan. to possess a w. of information on mempunyai banyak keterangan mengenai.
wealthy,"kb. the w. j. orang-orang kaya, kaum hartawan. -ks. kaya."
wean,"kkt. 1 menyapih, menyarak (a baby). 2 menghentikan, membuat berhenti (s.o. from a bad habit)."
weapon,kb. senjata. weapon carrier semacam kendaraan militer untuk mengangkat senjata.
wear,"kb. 1 pakaian. 2 pemakaian.  -kkt. (wore, worn) 1 memakai (clothes). 2 kelihatan. 3 melicinkan, meratakan."
wear-resistant,"ks. tahan lama (of tires). -worn ks. 1 usang (of material). 2 letih.  worn-out ks. cape, letih, lesu. -wearing ks. melelahkan, meletihkan (trip)."
wearability,kb. daya tahan pakai.
wearable,ks. 1 dapat dipakai. 2 dapat tahan.
wearer,kb. pemakai.
weariness,"kb. kelelahan, keletihan, kelesuan."
wearisome,"ks. mencapekkan, menjemukan."
